HybID	NSFTVID	Flowering time at Arkansas	Flowering time at Faridpur	Flowering time at Aberdeen	FT ratio of Arkansas/Aberdeen	FT ratio of Faridpur/Aberdeen	Culm habit	Leaf pubescence	Flag leaf length	Flag leaf width	Awn presence	Panicle number per plant	Plant height	Panicle length	Primary panicle branch number	Seed number per panicle	Florets per panicle	Panicle fertility	Seed length	Seed width	Seed volume	Seed surface area	Brown rice seed length	Brown rice seed width	Brown rice surface area	Brown rice volume	Seed length/width ratio	Brown rice length/width ratio	Seed color 	Pericarp color	Straighthead suseptability 	Blast resistance	Amylose content	Alkali spreading value	Protein content	Year07Flowering time at Arkansas	Year06Flowering time at Arkansas
090209-A06	75	87.66666667	NA	114	0.769005848	NA	3	1	35.06666667	1.425	1	2.414289083	132.4166667	32.83333333	10.25	5.05677645	5.720584963	0.515	7.991241667	3.120033333	2.232016874	3.730130557	5.702491667	2.675175	3.334655077	5.517058333	2.561	2.132	0	0	7.665	3	19.515	5.375	11.15	84.5	90.83333333
090209-A07	76	110.1666667	NA	131	0.840966921	NA	3.5	1	27.09166667	1.416666667	0	3.514029912	94.08333333	25.91818182	12.81818182	5.19648597	5.354869536	0.854	8.556491667	3.0905	2.352441355	3.839361269	6.436233333	2.632875	3.463510773	6.298691667	2.769	2.445	0	0	7.833333334	1	25.43	7	7.7	106	114.3333333
090209-A08	77	125	NA	182	0.686813187	NA	3	1	34.18	1.25	0	3.335176281	144.8	24.44	12.5	5.210396485	5.398162702	0.829	7.366336364	3.238527273	2.203799882	3.676559097	5.331758333	2.669866667	3.259716379	5.148308333	2.275	1.997	0	0	9	5	24.36666667	7	9.15	125	NA
090209-A09	78	98.83333333	73	86	1.149224806	0.848837209	7	1	32.53333333	1.341666667	0	3.48635519	133.75	25.12222222	9.666666667	5.056824677	5.127205473	0.932	9.180466667	2.737625	2.119554285	3.747997255	6.50307	2.34134	3.34840015	4.97373	3.353	2.777	0	0	NA	4	26.345	5.0625	7.7	108.5	89.16666667
090209-A10	79	76.25	77	88	0.866477273	0.875	3	1	27.9	1.108333333	1	3.075774981	91.16666667	24.71818182	12.09090909	5.039899849	5.150133697	0.896	8.558916667	3.266091667	2.41028487	3.854455331	6.101827273	2.7594	3.442447212	6.389354545	2.621	2.211	0	0	4.666666667	7	10.58666667	6.375	7.3	72	80.5
090209-A11	80	110.5714286	72	136	0.81302521	0.529411765	2	1	48.2	0.991666667	NA	3.983413002	106	27.56666667	10	4.410776048	5.400422589	0.372	9.08107	2.72842	2.153739317	3.774177865	7.16594	2.13718	3.319346123	4.32271	3.328	3.353	0	0	8.168333334	4	25.62	5.5	NA	113.5	93
090209-A12	81	83.25	77	92	0.904891304	0.836956522	6.333333333	1	34.43333333	1.311111111	0	3.49144426	139.3333333	26.17777778	7.625	4.926045226	5.013409221	0.916	9.49555	2.652916667	2.137160967	3.78344864	7.017591667	2.22655	3.381472735	4.89925	3.579	3.152	0	0	7.331666667	1	25.43	4.875	8.4	81.5	85
090209-B01	83	79	67	79	1	0.848101266	3.8	1	23.99	0.89	0	3.280911216	106.6	19.62222222	10.66666667	4.870947423	5.0604831	0.827	6.93865	3.41136	2.256672036	3.668472644	4.85689	2.89428	3.249616841	5.50332	2.034	1.678	0	0	5.498333334	4	11.60333333	6.375	8.1	76	83.5
090325-B05	84	89.16666667	110	101	0.882838284	1.089108911	4	1	33.55	1.666666667	1	2.319114395	132.5833333	30.96666667	9.916666667	5.231108617	5.606108392	0.687	7.857083333	3.367133333	2.334443837	3.763595114	5.433345455	2.841709091	3.355201038	6.031818182	2.333	1.912	0	0	6.668333334	4	20.385	5.25	9.3	85.5	92.83333333
090325-B06	85	100.75	78	90	1.119444444	0.866666667	6.5	1	31	1.166666667	1	3.860729711	143.1666667	28.45	9.5	5.04234927	5.108971195	0.936	7.378733333	2.55115	1.769736796	3.466206365	5.248316667	2.153241667	3.043415476	3.346891667	2.892	2.437	0	1	NA	7	26.59	4.666666667	7.55	114.5	87
